train_loss,val_loss,train_acc,val_acc,train_f1,val_f1,train_auc,val_auc
0.5635048972458399,0.30763084220349746,0.9746148459383753,0.9687261632341724,0.9745926176713232,0.9674543008406374,0.9987720361975984,0.9977042520427001
0.29729086957892786,0.3080728053705643,0.9772408963585434,0.9641495041952708,0.9772793016427053,0.9615124519577802,0.9984698299174017,0.9982006949635494
0.2656598389983511,0.4446912587461901,0.946078431372549,0.9115179252479023,0.9458882099550578,0.9038339004437832,0.9954494721201391,0.9890311900768657
0.2690595683096504,0.25561768207542773,0.9866946778711485,0.9763539282990084,0.9867293237740162,0.9759107009694259,0.9997399141575553,0.9991015042153026
0.25354163941382024,0.2767001322259619,0.9851190476190477,0.9748283752860412,0.9851039335927023,0.9749057397887215,0.9995487358147297,0.9993991696525146
0.23932052409949423,0.35102533425746485,0.9553571428571429,0.9519450800915332,0.9550711078106355,0.9495287660703489,0.9962902963010343,0.9955217969708837
0.23730052260457635,0.27592561578677866,0.9821428571428571,0.9763539282990084,0.9822056425459942,0.9758098923461577,0.9994346572739055,0.9968554373404048
0.2443403854590504,0.30974933526654175,0.9732142857142857,0.9610983981693364,0.9731651199641252,0.9588449572625523,0.9991394869349397,0.9988067184515611
0.22026116753659664,0.2219609879951819,0.9977240896358543,0.992372234935164,0.9977333666990477,0.9920449697663276,0.9999656101534498,0.9999185848400967
0.21150582189820394,0.22410331391406185,0.9954481792717087,0.9931350114416476,0.9954588364497294,0.9926525097608109,0.9999040998942793,0.999925445260654
0.2087981448787935,0.21083112963504413,0.9992997198879552,0.9984744469870328,0.9993240465859785,0.9983509432115415,0.9999858350040185,0.9998237611326621
0.2097373065911755,0.2166753319681009,0.9989495798319328,0.996186117467582,0.9989524670599447,0.9959672906963887,0.9999900665921003,0.99979650056403
0.21485962015407092,0.22616117044680906,0.9940476190476191,0.992372234935164,0.9940007777956177,0.9921452861372164,0.9998173059857036,0.9999392902150467
0.21572006266324126,0.23360149660108656,0.9950980392156863,0.9877955758962624,0.9950957424998735,0.9868393048607875,0.9999497485005124,0.9990905347971648
0.21275230332249018,0.2301866218481784,0.9987745098039216,0.9908466819221968,0.9987532384488134,0.9902610170110056,0.999988376608252,0.9998835644385156
0.20674197876653752,0.22162409300662286,0.9994747899159664,0.9946605644546148,0.9994816572072662,0.994315713513972,0.9999944387722282,0.9996976838796237
0.2061752354731413,0.21639295449746102,0.9985994397759104,0.996186117467582,0.9985955948986094,0.995868255158236,0.9999873168024711,0.9990300992081929
0.20375086212692475,0.2149993325239097,0.999124649859944,0.9946605644546148,0.9991191658332246,0.994315722913547,0.999998842111355,0.9999689839914294
0.20589614223365357,0.23401897538717606,0.9977240896358543,0.9877955758962624,0.9977447143394166,0.9874345512170293,0.9999829554399476,0.9998705891008575
0.20475903186811453,0.21152373348184436,0.9992997198879552,0.9977116704805492,0.99930419384224,0.9975270051330896,0.9999995524300552,0.9999762550004772
