train_loss,val_loss,train_acc,val_acc,train_f1,val_f1,train_auc,val_auc
0.8878713938034549,0.5482002877716251,0.9334733893557423,0.9130434782608695,0.9338648959504131,0.9088260929394159,0.9923639280856837,0.9864909655642492
0.4530708874974932,0.39171065225299306,0.9592086834733894,0.9549961861174676,0.9594106973893667,0.9530085142649107,0.9970300152649123,0.9964636458844454
0.3523919248864764,0.3322343458936562,0.9845938375350141,0.9710144927536232,0.9845001538292577,0.9700013814656577,0.9994237742054101,0.9989679163324874
0.30195725702938914,0.2879584108619268,0.9933473389355743,0.9908466819221968,0.993314494389552,0.9905042621699489,0.9997643602399762,0.9997776940962163
0.27645398780745284,0.26912365432098384,0.9964985994397759,0.9908466819221968,0.9965273395958474,0.990412908922582,0.9999736784921798,0.9999098786967844
0.2579293031902874,0.2565049880861236,0.9975490196078431,0.9946605644546148,0.9975425860798116,0.9943296512542549,0.9999639010745014,0.9997481884463552
0.24751951631043806,0.2464512861543353,0.9987745098039216,0.996186117467582,0.998788946124564,0.9958778766016704,0.9999966182579587,0.9998575640156118
0.24738350840342813,0.24210068932432513,0.9994747899159664,0.996186117467582,0.9994769477041323,0.9958778766016704,0.9999968923257153,0.9999106198029847
0.23633966450931645,0.23472404901668553,0.999124649859944,0.9954233409610984,0.9991367008357486,0.9951538799700185,0.9999850073913249,0.9999852879181601
0.22858013742778147,0.23296011234175423,0.9989495798319328,0.9954233409610984,0.9989598793813567,0.9950537704494257,0.9999671728976272,0.9999215393427154
0.22556613327241412,0.2323302470210124,0.9992997198879552,0.9977116704805492,0.9993020696907879,0.9975270051330895,0.9999183443468076,0.9993201150624759
0.2245887311316338,0.22797418107839143,0.9996498599439776,0.9977116704805492,0.9996506227086215,0.9975270051330895,0.9999976864225273,0.999932073404626
0.22175792836341537,0.2229109923863211,0.9996498599439776,0.996186117467582,0.9996466029978245,0.9958788534518688,0.9999993821799232,0.9999885963213547
0.220784389797379,0.22360978344303337,0.9994747899159664,0.996186117467582,0.9994813098778902,0.9960837642427046,0.999855494116937,0.9999788185003494
0.219319313096733,0.22124203638344844,0.9994747899159664,0.996186117467582,0.9994738765071246,0.9960877143355062,0.999994273960659,0.9999787958251836
0.21414996587595686,0.22039029862615192,0.9996498599439776,0.9969488939740656,0.999643516497589,0.9969155249841959,0.9998337031003708,0.9999820135277145
0.2150241027609641,0.22028618910038045,1.0,0.996186117467582,1.0,0.9960837711640971,1.0,0.9999804103452405
0.21315124071612745,0.21862751273914297,0.9989495798319328,0.9984744469870328,0.9989380423189197,0.9983509432115415,0.999758500390012,0.9999656529130689
0.21723256287287598,0.21977339697466108,0.9996498599439776,0.9969488939740656,0.9996511846339227,0.9969155249841959,0.9999983638022478,0.9999788411755154
0.2125578612840476,0.21740068224756706,0.9996498599439776,0.9977116704805492,0.9996540919332947,0.9977393782744043,0.9999997567749913,0.999471723392695
