train_loss,val_loss,train_acc,val_acc,train_f1,val_f1,train_auc,val_auc
0.9734794730398836,0.4944419112258245,0.9164915966386554,0.8878718535469108,0.9159673525461178,0.8838281000175164,0.990650145698345,0.9828127122203054
0.46000758777646455,0.43216476148998895,0.9497549019607843,0.9168573607932876,0.9496366619883084,0.914748961852875,0.9968899742350606,0.9932941132762859
0.3621250060426087,0.3329902756405095,0.9770658263305322,0.9496567505720824,0.9768313875565329,0.9482073828960482,0.9992057268743297,0.9963508263883573
0.31592117821802945,0.31688364355915105,0.9856442577030813,0.96186117467582,0.9856836012812021,0.9610746994544087,0.999532654227697,0.9971997487573088
0.2902778942211002,0.27016274671941926,0.9870448179271709,0.9763539282990084,0.9869563300227893,0.9754904247602628,0.999751741612618,0.9991737759662777
0.27106558971879197,0.2567539255438098,0.9933473389355743,0.9824561403508771,0.9933367492057286,0.9817055068510223,0.9999423993862832,0.9992550206671398
0.2598771049278457,0.2582279845765308,0.9949229691876751,0.9824561403508771,0.9949704378952537,0.9821228618070588,0.99996064002232,0.999558390060918
0.24893885262373114,0.24061760363189616,0.9956232492997199,0.9870327993897788,0.9956187224628834,0.9869673217713997,0.9998514243477149,0.9996929807968146
0.2412689031422639,0.23030312704867212,0.9978991596638656,0.9938977879481312,0.9979239475179887,0.9937249471652357,0.9999912416064765,0.9997408705205207
0.23185912083510926,0.24122168636340208,0.9989495798319328,0.9893211289092296,0.9989567943962944,0.9893017295327402,0.9999964676866204,0.9988036457605023
0.22570237300309146,0.24075435109942311,0.9978991596638656,0.9908466819221968,0.9978837237670469,0.9904023085644637,0.9999970779241699,0.9993836967464915
0.2263912735950379,0.22539555317204385,0.999124649859944,0.9954233409610984,0.9991306842390897,0.995161459039819,0.9998003880679112,0.9998061736773368
0.2212267136957799,0.22371458858365234,0.9985994397759104,0.9946605644546148,0.9985915530677321,0.9946371324391673,0.9999967535995224,0.9998949190772731
0.21541933143506198,0.21878366309845385,0.9984243697478992,0.9946605644546148,0.9984281543075155,0.9945368956423825,0.9999904677413309,0.9997998658761291
0.2141597027204284,0.22431589382282202,0.9987745098039216,0.9938977879481312,0.99876305154352,0.9937249471652357,0.9999986016237025,0.9995458755680593
0.21722503160896087,0.22122293845967061,0.9985994397759104,0.9946605644546148,0.998616518945513,0.9943414611438348,0.9999039086143725,0.9994107085991941
0.21372107869269802,0.2233195259632908,0.9996498599439776,0.9946605644546148,0.9996511820175759,0.9944309689115518,0.9999896165396789,0.9994198584688389
0.21060177308170736,0.22334860934727435,0.9992997198879552,0.9931350114416476,0.9993060726026991,0.9931101262661848,0.9999989455470838,0.9994385607564896
0.20906162299528844,0.2196573210094468,0.9998249299719888,0.9946605644546148,0.9998238169444396,0.9943372312875808,0.9999991796733441,0.9996097223178878
0.21098892211246223,0.21516613480382799,0.9992997198879552,0.9969488939740656,0.9993033171032741,0.9968095914274254,0.999999513586663,0.9997635504223484
