train_loss,val_loss,train_acc,val_acc,train_f1,val_f1,train_auc,val_auc
0.5227813478194031,0.3401288781158802,0.9698879551820728,0.9549961861174676,0.9700298015854619,0.9533511729642197,0.9984091609079324,0.9966419218328383
0.31256113537386354,0.28938419240563085,0.9840686274509803,0.9763539282990084,0.9838880224800916,0.9751703076325414,0.998548188246793,0.9978800141734878
0.2601466618415688,0.24879886372502208,0.9938725490196079,0.9870327993897788,0.9938916369606208,0.9863981102279613,0.9999066626470648,0.999544441994392
0.252924108538641,0.23035852238251725,0.9964985994397759,0.9954233409610984,0.9964434337427923,0.9952638069792421,0.9999757782106553,0.9998453323272246
0.23274779399069084,0.23499853624859263,0.9945728291316527,0.9908466819221968,0.9944894040572078,0.9904271875948198,0.9997099178346583,0.9993847750171398
0.2320124747372475,0.2211560351556717,0.998249299719888,0.9969488939740656,0.9982236896256553,0.9967029796991375,0.9999943185310536,0.9994332482194447
0.22159026788563288,0.21999888103895748,0.9971988795518207,0.9938977879481312,0.9971907226028448,0.9937282837196296,0.9999338927568681,0.9998723888193638
0.22144347128747893,0.22555438581993342,0.9959733893557423,0.9946605644546148,0.9959486737548716,0.9943361641161725,0.9995607556759369,0.9991797530463583
0.2213829091700519,0.2368462836806052,0.9936974789915967,0.992372234935164,0.9936598839786432,0.9924043203664493,0.9999649934278372,0.9997199411767876
0.22387635824727078,0.23660569789753352,0.9977240896358543,0.9916094584286804,0.9977467979638557,0.9913398810473228,0.9999935358358423,0.9990779321264779
0.22432244854981825,0.22072799557224654,0.9968487394957983,0.9938977879481312,0.9968213909344745,0.9933962837899171,0.9999961511757602,0.9999436924973473
0.21332118762474434,0.21819894465892756,0.999124649859944,0.9938977879481312,0.9991227762485593,0.9934000724439195,0.9999980726290796,0.999695156275796
0.20771936133128255,0.21654252229438858,0.9985994397759104,0.9954233409610984,0.9985729050521096,0.9950542161893245,0.99994984583348,0.9996297104400613
0.20755118707648845,0.21083551856691285,0.9992997198879552,0.9977116704805492,0.9993057055053867,0.9975270051330896,0.9999968535908594,0.9997965943541152
0.20937606909361875,0.21198338947616216,0.9985994397759104,0.9969488939740656,0.9986255123047576,0.9967043825739479,0.9999167128136033,0.9998763520791342
0.20865488503159596,0.21205918298796966,0.9998249299719888,0.9969488939740656,0.9998278809208518,0.996701886423083,1.0,0.9998145774492484
0.20937747335066648,0.21210699830229823,0.9996498599439776,0.9977116704805492,0.9996441279336017,0.9975244151932259,0.9999998347075187,0.9999018816624583
0.2057538934532,0.21009741668979418,0.9994747899159664,0.9984744469870328,0.9994793520263178,0.9983495473511053,0.9999985064954711,0.9998792409917596
0.20407909764295198,0.21202868964270177,0.999124649859944,0.9977116704805492,0.9991226725897806,0.9975270051330896,0.9999992229444136,0.9999140642571747
